,ID,date,Tm,home,won,PG,SG,SF,PF,C
0,,,,0.0,True,,,,,
1,2016_20151027_DET,27/10/2015,DET,0.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond
2,2016_20151027_ATL,27/10/2015,ATL,1.0,False,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
3,2016_20151027_CLE,27/10/2015,CLE,0.0,False,Mo Williams,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov
4,2016_20151027_CHI,27/10/2015,CHI,1.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol
5,2016_20151027_NOP,27/10/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Alonzo Gee,Ryan Anderson,Anthony Davis
6,2016_20151027_GSW,27/10/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Andrew Bogut
7,2016_20151028_PHI,28/10/2015,PHI,0.0,False,T.J. McConnell,Isaiah Canaan,JaKarr Sampson,Jerami Grant,Jahlil Okafor
8,2016_20151028_BOS,28/10/2015,BOS,1.0,True,Marcus Smart,Avery Bradley,Jae Crowder,David Lee,Tyler Zeller
9,2016_20151028_CHI,28/10/2015,CHI,0.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol
10,2016_20151028_BRK,28/10/2015,BRK,1.0,False,Shane Larkin,Wayne Ellington,Joe Johnson,Thaddeus Young,Brook Lopez
11,2016_20151028_UTA,28/10/2015,UTA,0.0,False,Raul Neto,Rodney Hood,Gordon Hayward,Derrick Favors,Rudy Gobert
12,2016_20151028_DET,28/10/2015,DET,1.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond
13,2016_20151028_DEN,28/10/2015,DEN,0.0,True,Emmanuel Mudiay,Gary Harris,Danilo Gallinari,Kenneth Faried,Joffrey Lauvergne
14,2016_20151028_HOU,28/10/2015,HOU,1.0,False,Ty Lawson,James Harden,Trevor Ariza,Terrence Jones,Clint Capela
15,2016_20151028_MIN,28/10/2015,MIN,0.0,True,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns
16,2016_20151028_LAL,28/10/2015,LAL,1.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert
17,2016_20151028_CLE,28/10/2015,CLE,0.0,True,Mo Williams,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov
18,2016_20151028_MEM,28/10/2015,MEM,1.0,False,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol
19,2016_20151028_CHO,28/10/2015,CHO,0.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Cody Zeller
20,2016_20151028_MIA,28/10/2015,MIA,1.0,True,Goran Dragic,Gerald Green,Justise Winslow,Chris Bosh,Hassan Whiteside
21,2016_20151028_NYK,28/10/2015,NYK,0.0,True,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
22,2016_20151028_MIL,28/10/2015,MIL,1.0,False,Michael Carter-Williams,Khris Middleton,Damien Inglis,Chris Copeland,Greg Monroe
23,2016_20151028_SAS,28/10/2015,SAS,0.0,False,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan
24,2016_20151028_OKC,28/10/2015,OKC,1.0,True,Russell Westbrook,Anthony Morrow,Kevin Durant,Serge Ibaka,Steven Adams
25,2016_20151028_WAS,28/10/2015,WAS,0.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Kris Humphries,Marcin Gortat
26,2016_20151028_ORL,28/10/2015,ORL,1.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Nikola Vucevic
27,2016_20151028_DAL,28/10/2015,DAL,0.0,True,Raymond Felton,John Jenkins,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia
28,2016_20151028_PHO,28/10/2015,PHO,1.0,False,Eric Bledsoe,Brandon Knight,T.J. Warren,Jon Leuer,Tyson Chandler
29,2016_20151028_NOP,28/10/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Dante Cunningham,Ryan Anderson,Anthony Davis
30,2016_20151028_POR,28/10/2015,POR,1.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee
31,2016_20151028_LAC,28/10/2015,LAC,0.0,True,Chris Paul,J.J. Redick,Paul Pierce,Blake Griffin,DeAndre Jordan
32,2016_20151028_SAC,28/10/2015,SAC,1.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,DeMarcus Cousins
33,2016_20151028_IND,28/10/2015,IND,0.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi
34,2016_20151028_TOR,28/10/2015,TOR,1.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
35,2016_20151029_MEM,29/10/2015,MEM,0.0,True,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol
36,2016_20151029_IND,29/10/2015,IND,1.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi
37,2016_20151029_DAL,29/10/2015,DAL,0.0,False,Raymond Felton,John Jenkins,Jeremy Evans,Dirk Nowitzki,Zaza Pachulia
38,2016_20151029_LAC,29/10/2015,LAC,1.0,True,Chris Paul,Austin Rivers,Wesley Johnson,Blake Griffin,DeAndre Jordan
39,2016_20151029_ATL,29/10/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
40,2016_20151029_NYK,29/10/2015,NYK,1.0,False,Jerian Grant,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
41,2016_20151030_CHO,30/10/2015,CHO,0.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Al Jefferson
42,2016_20151030_ATL,30/10/2015,ATL,1.0,True,Jeff Teague,Lamar Patterson,Kent Bazemore,Paul Millsap,Al Horford
43,2016_20151030_TOR,30/10/2015,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
44,2016_20151030_BOS,30/10/2015,BOS,1.0,False,Isaiah Thomas,Avery Bradley,Jae Crowder,Amir Johnson,Kelly Olynyk
