,ID,date,Tm,home,won,PG1,SG1,SF1,PF1,C1,PG2,SG2,SF2,PF2,C2,PG3,SG3,SF3,PF3,C3
0,,,,0.0,True,,,,,,,,,,,,,,,
1,2016_20151027_DET,27/10/2015,DET,0.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond,Steve Blake,Jodie Meeks,Stanley Johnson,,Aron Baynes,,,,,
2,2016_20151027_ATL,27/10/2015,ATL,1.0,False,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford,Dennis Schroder,Lamar Patterson,Thabo Sefolosha,Mike Scott,Tiago Splitter,,,,,Mike Muscala
3,2016_20151027_CLE,27/10/2015,CLE,0.0,False,Mo Williams,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov,Matthew Dellavedova,Jared Cunningham,Richard Jefferson,Tristan Thompson,Anderson Varejao,,,James Jones,,
4,2016_20151027_CHI,27/10/2015,CHI,1.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol,Aaron Brooks,E'Twaun Moore,Doug McDermott,Taj Gibson,Joakim Noah,,,,,
5,2016_20151027_NOP,27/10/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Alonzo Gee,Ryan Anderson,Anthony Davis,Nate Robinson,,Dante Cunningham,,Alexis Ajinca,,,,,Kendrick Perkins
6,2016_20151027_GSW,27/10/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Andrew Bogut,Shaun Livingston,Leandro Barbosa,Andre Iguodala,James Michael McAdoo,Festus Ezeli,,Brandon Rush,,,Marreese Speights
7,2016_20151028_PHI,28/10/2015,PHI,0.0,False,T.J. McConnell,Isaiah Canaan,JaKarr Sampson,Jerami Grant,Jahlil Okafor,,Hollis Thompson,,Richaun Holmes,Nerlens Noel,,,,Christian Wood,
8,2016_20151028_BOS,28/10/2015,BOS,1.0,True,Marcus Smart,Avery Bradley,Jae Crowder,David Lee,Tyler Zeller,Isaiah Thomas,Evan Turner,,Jared Sullinger,,Terry Rozier,,,Amir Johnson,
9,2016_20151028_CHI,28/10/2015,CHI,0.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol,Aaron Brooks,E'Twaun Moore,Doug McDermott,Taj Gibson,Joakim Noah,Kirk Hinrich,,,,
10,2016_20151028_BRK,28/10/2015,BRK,1.0,False,Shane Larkin,Wayne Ellington,Joe Johnson,Thaddeus Young,Brook Lopez,Donald Sloan,Markel Brown,Bojan Bogdanovic,Thomas Robinson,Andrea Bargnani,,,Rondae Hollis-Jefferson,,
