,Player,Pos,Tm,Season
0,Quincy Acy,PF,SAC,2016
1,Jordan Adams,SG,MEM,2016
2,Steven Adams,C,OKC,2016
3,Arron Afflalo,SG,NYK,2016
4,Alexis Ajinça,C,NOP,2016
5,Cole Aldrich,C,LAC,2016
6,LaMarcus Aldridge,PF,SAS,2016
7,Cliff Alexander,PF,POR,2016
8,Lavoy Allen,PF,IND,2016
9,Tony Allen,SG,MEM,2016
10,Al-Farouq Aminu,SF,POR,2016
11,Lou Amundson,PF,NYK,2016
12,Chris Andersen,C,TOT,2016
13,Chris Andersen,C,MIA,2016
14,Chris Andersen,C,MEM,2016
15,Alan Anderson,SG,WAS,2016
16,James Anderson,SG,SAC,2016
17,Justin Anderson,SF,DAL,2016
18,Kyle Anderson,SF,SAS,2016
19,Ryan Anderson,PF,NOP,2016
20,Giannis Antetokounmpo,PG,MIL,2016
21,Thanasis Antetokounmpo,SF,NYK,2016
22,Carmelo Anthony,SF,NYK,2016
23,Joel Anthony,C,DET,2016
24,Keith Appling,PG,ORL,2016
25,Trevor Ariza,SF,HOU,2016
26,Darrell Arthur,PF,DEN,2016
27,Ömer Aşık,C,NOP,2016
28,D.J. Augustin,PG,TOT,2016
29,D.J. Augustin,PG,OKC,2016
30,D.J. Augustin,PG,DEN,2016
31,Jeff Ayres,C,LAC,2016
32,Luke Babbitt,SF,NOP,2016
33,Cameron Bairstow,C,CHI,2016
34,Leandro Barbosa,SG,GSW,2016
35,J.J. Barea,PG,DAL,2016
36,Andrea Bargnani,C,BRK,2016
37,Harrison Barnes,SF,GSW,2016
38,Matt Barnes,SF,MEM,2016
39,Will Barton,SG,DEN,2016
40,Brandon Bass,PF,LAL,2016
41,Nicolas Batum,SF,CHO,2016
42,Jerryd Bayless,SG,MIL,2016
43,Aron Baynes,C,DET,2016
44,Kent Bazemore,SF,ATL,2016
45,Bradley Beal,SG,WAS,2016
46,Michael Beasley,PF,HOU,2016
47,Marco Belinelli,SG,SAC,2016
48,Anthony Bennett,PF,TOR,2016
49,Patrick Beverley,PG,HOU,2016
50,Bismack Biyombo,C,TOR,2016
51,Nemanja Bjelica,PF,MIN,2016
52,Tarik Black,C,LAL,2016
53,DeJuan Blair,C,WAS,2016
54,Steve Blake,PG,DET,2016
55,Eric Bledsoe,PG,PHO,2016
56,Bojan Bogdanović,SF,BRK,2016
57,Andrew Bogut,C,GSW,2016
58,Matt Bonner,C,SAS,2016
59,Devin Booker,SG,PHO,2016
60,Trevor Booker,PF,UTA,2016
61,Chris Bosh*,PF,MIA,2016
62,Avery Bradley,SG,BOS,2016
63,Elton Brand,C,PHI,2016
64,Corey Brewer,SF,HOU,2016
65,Aaron Brooks,PG,CHI,2016
66,Anthony Brown,SF,LAL,2016
67,Lorenzo Brown,PG,PHO,2016
68,Markel Brown,SG,BRK,2016
69,Kobe Bryant*,SF,LAL,2016
70,Chase Budinger,SF,TOT,2016
71,Chase Budinger,SF,IND,2016
72,Chase Budinger,SF,PHO,2016
73,Reggie Bullock,SF,DET,2016
74,Trey Burke,PG,UTA,2016
75,Alec Burks,SG,UTA,2016
76,Caron Butler,SF,SAC,2016
77,Jimmy Butler,SG,CHI,2016
78,Rasual Butler,SF,SAS,2016
79,Bruno Caboclo,SF,TOR,2016
80,José Calderón,PG,NYK,2016
81,Kentavious Caldwell-Pope,SG,DET,2016
82,Isaiah Canaan,SG,PHI,2016
83,Clint Capela,C,HOU,2016
84,DeMarre Carroll,SF,TOR,2016
85,Vince Carter,SG,MEM,2016
86,Michael Carter-Williams,PG,MIL,2016
87,Omri Casspi,PF,SAC,2016
88,Willie Cauley-Stein,C,SAC,2016
89,Mario Chalmers,PG,TOT,2016
90,Mario Chalmers,PG,MIA,2016
91,Mario Chalmers,PG,MEM,2016
92,Tyson Chandler,C,PHO,2016
93,Rakeem Christmas,PF,IND,2016
94,Ian Clark,SG,GSW,2016
95,Coty Clarke,SF,BOS,2016
96,Jordan Clarkson,SG,LAL,2016
97,Norris Cole,PG,NOP,2016
98,Darren Collison,PG,SAC,2016
99,Nick Collison,PF,OKC,2016
100,Mike Conley,PG,MEM,2016
101,Pat Connaughton,SG,POR,2016
102,Chris Copeland,PF,MIL,2016
103,Bryce Cotton,PG,TOT,2016
104,Bryce Cotton,PG,PHO,2016
105,Bryce Cotton,PG,MEM,2016
106,DeMarcus Cousins,C,SAC,2016
107,Robert Covington,SF,PHI,2016
108,Allen Crabbe,SG,POR,2016
109,Jamal Crawford,SG,LAC,2016
110,Jae Crowder,SF,BOS,2016
111,Dante Cunningham,SF,NOP,2016
112,Jared Cunningham,SG,TOT,2016
113,Jared Cunningham,SG,CLE,2016
114,Jared Cunningham,SG,MIL,2016
115,Seth Curry,PG,SAC,2016
116,Stephen Curry,PG,GSW,2016
117,Troy Daniels,SG,CHO,2016
118,Anthony Davis,C,NOP,2016
119,Ed Davis,PF,POR,2016
120,Branden Dawson,PF,LAC,2016
121,Dewayne Dedmon,C,ORL,2016
122,Bryce Dejean-Jones,SG,NOP,2016
123,Sam Dekker,PF,HOU,2016
124,Matthew Dellavedova,PG,CLE,2016
125,Luol Deng,PF,MIA,2016
126,DeMar DeRozan,SG,TOR,2016
127,Boris Diaw,PF,SAS,2016
128,Gorgui Dieng,C,MIN,2016
129,Spencer Dinwiddie,PG,DET,2016
130,Toney Douglas,PG,NOP,2016
131,Goran Dragić,PG,MIA,2016
132,Andre Drummond,C,DET,2016
133,Jared Dudley,PF,WAS,2016
134,Duje Dukan,SF,SAC,2016
135,Tim Duncan*,C,SAS,2016
136,Mike Dunleavy,SF,CHI,2016
137,Kevin Durant,SF,OKC,2016
138,Cleanthony Early,SF,NYK,2016
139,Jarell Eddie,SF,WAS,2016
140,Wayne Ellington,SG,BRK,2016
141,Monta Ellis,SG,IND,2016
142,James Ennis III,SF,TOT,2016
143,James Ennis III,SF,MIA,2016
144,James Ennis III,SF,MEM,2016
145,James Ennis III,SF,NOP,2016
